epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1209.63,0.6122,1.03994,0.96077,0.99073,0.7883,0.65482,0.75483,0.66869,0.77495,0.65333,0.7482,0.64862,0.7346,1.42283,1.22879,1.06986,0.000141791,0.000141791,0.000141791
31,1248.44,0.59357,1.01141,0.91015,0.97631,0.67389,0.73716,0.74625,0.64966,0.67166,0.73469,0.74267,0.63708,0.7353,1.3482,1.25989,1.06204,0.000135198,0.000135198,0.000135198
32,1288.02,0.62232,1.06327,0.91324,0.99358,0.67886,0.74709,0.74218,0.65743,0.67392,0.73809,0.73004,0.63369,0.69467,1.28925,1.26517,1.04038,0.000128605,0.000128605,0.000128605
33,1327.33,0.58663,0.98935,0.87974,0.98136,0.66494,0.7332,0.72837,0.64719,0.66122,0.73031,0.72627,0.62346,0.69329,1.43383,1.33181,1.04347,0.000122011,0.000122011,0.000122011
34,1366.27,0.61718,1.05288,0.88008,0.99097,0.76309,0.67647,0.74316,0.65781,0.75162,0.66992,0.73822,0.62831,0.71209,1.40124,1.25193,1.05009,0.000115418,0.000115418,0.000115418
35,1405.29,0.58955,1.0103,0.84882,0.9743,0.80221,0.70342,0.73492,0.65372,0.79672,0.69911,0.73645,0.62953,0.69776,1.35004,1.26125,1.04403,0.000108824,0.000108824,0.000108824
36,1444.08,0.59435,1.01695,0.84714,0.98173,0.79198,0.68178,0.742,0.65768,0.78329,0.67681,0.73465,0.64423,0.71326,1.26439,1.22426,1.04847,0.000102231,0.000102231,0.000102231
37,1483.29,0.57798,0.96533,0.82717,0.9764,0.82672,0.67817,0.74735,0.65647,0.8204,0.67497,0.74105,0.64407,0.71078,1.31569,1.24854,1.04063,9.56376e-05,9.56376e-05,9.56376e-05
38,1522.71,0.56922,0.97481,0.81136,0.96332,0.79163,0.70826,0.75073,0.66722,0.7858,0.70539,0.74392,0.64339,0.65622,1.27722,1.19905,1.02322,8.90442e-05,8.90442e-05,8.90442e-05
39,1561.43,0.57818,0.98407,0.8084,0.96885,0.81414,0.68739,0.75679,0.672,0.79987,0.685,0.75315,0.65216,0.68853,1.32303,1.21272,1.04911,8.24508e-05,8.24508e-05,8.24508e-05
40,1599.63,0.57563,0.9569,0.78518,0.9668,0.7727,0.70962,0.74783,0.66325,0.76894,0.70944,0.74732,0.64871,0.68648,1.28347,1.23513,1.05319,7.58574e-05,7.58574e-05,7.58574e-05
41,1644.48,0.54395,0.93415,0.81997,0.96015,0.78651,0.71494,0.75336,0.6655,0.78215,0.71016,0.74704,0.64057,0.68059,1.28759,1.20972,1.04113,6.9264e-05,6.9264e-05,6.9264e-05
42,1681.45,0.52318,0.86784,0.74962,0.9401,0.76856,0.7147,0.76598,0.68359,0.79556,0.69028,0.76098,0.65924,0.66331,1.3002,1.17647,1.03105,6.26706e-05,6.26706e-05,6.26706e-05
43,1719.25,0.50125,0.84689,0.7077,0.9314,0.79151,0.72665,0.76674,0.68972,0.78214,0.72205,0.76091,0.66279,0.6667,1.30252,1.14786,1.0258,5.60772e-05,5.60772e-05,5.60772e-05
44,1753.99,0.51225,0.84901,0.70101,0.94072,0.81864,0.71783,0.77337,0.6949,0.81058,0.70418,0.76633,0.66971,0.66115,1.29388,1.14954,1.02084,4.94838e-05,4.94838e-05,4.94838e-05
45,1790.36,0.50253,0.85049,0.68142,0.92878,0.8463,0.69718,0.77301,0.69096,0.84366,0.69513,0.76636,0.67106,0.66492,1.31188,1.13702,1.02304,4.28904e-05,4.28904e-05,4.28904e-05
46,1825.25,0.49729,0.8502,0.67366,0.9306,0.81391,0.70967,0.76673,0.68986,0.81464,0.70457,0.76035,0.67066,0.65995,1.28068,1.12957,1.01724,3.6297e-05,3.6297e-05,3.6297e-05
47,1860.09,0.48731,0.82578,0.66621,0.91943,0.81367,0.70572,0.76548,0.6858,0.81711,0.69968,0.76121,0.66566,0.65652,1.2898,1.13118,1.02383,2.97036e-05,2.97036e-05,2.97036e-05
48,1895.57,0.49749,0.82255,0.66499,0.93718,0.79805,0.72028,0.76794,0.69026,0.7974,0.71595,0.7629,0.66314,0.65587,1.30243,1.14754,1.02322,2.31102e-05,2.31102e-05,2.31102e-05
49,1931.71,0.4885,0.83862,0.67674,0.92406,0.81966,0.71153,0.765,0.68801,0.81581,0.70468,0.75981,0.66092,0.65621,1.28374,1.15634,1.01668,1.65168e-05,1.65168e-05,1.65168e-05
50,1966.23,0.49168,0.82355,0.66183,0.92665,0.8176,0.71621,0.76619,0.68685,0.80245,0.71946,0.76237,0.66221,0.67108,1.28177,1.15302,1.02242,9.9234e-06,9.9234e-06,9.9234e-06
