epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1079.93,0.58191,0.97817,0.83998,0.97208,0.64225,0.71859,0.71708,0.64007,0.64119,0.71633,0.72247,0.61242,0.67271,1.34677,1.29546,1.05116,0.000141791,0.000141791,0.000141791
31,1115.85,0.56142,0.96848,0.84397,0.95979,0.66446,0.71657,0.7342,0.65506,0.65991,0.70993,0.72869,0.6236,0.66613,1.35266,1.30271,1.05715,0.000135198,0.000135198,0.000135198
32,1151.7,0.56399,0.97562,0.80844,0.95876,0.62496,0.72318,0.72905,0.64942,0.62569,0.72621,0.7359,0.62238,0.67374,1.31908,1.2816,1.04688,0.000128605,0.000128605,0.000128605
33,1187,0.55276,0.96259,0.80959,0.95266,0.68939,0.72879,0.73898,0.66377,0.68457,0.72773,0.73182,0.62542,0.66711,1.3399,1.27752,1.06137,0.000122011,0.000122011,0.000122011
34,1222.47,0.56031,0.99788,0.79756,0.96594,0.6825,0.71119,0.73844,0.66578,0.67758,0.70941,0.73194,0.62835,0.65577,1.34181,1.25375,1.04479,0.000115418,0.000115418,0.000115418
35,1258.08,0.54996,0.95637,0.79099,0.95633,0.67466,0.72092,0.73837,0.66354,0.67087,0.72141,0.74331,0.63363,0.65071,1.31205,1.20292,1.04089,0.000108824,0.000108824,0.000108824
36,1293.22,0.5464,0.95433,0.76929,0.95879,0.74346,0.71025,0.74387,0.6673,0.73781,0.70851,0.74007,0.63425,0.63384,1.3159,1.21663,1.03078,0.000102231,0.000102231,0.000102231
37,1327.77,0.53427,0.92393,0.74542,0.94698,0.734,0.69447,0.73444,0.67066,0.73571,0.69893,0.73601,0.63089,0.63825,1.32257,1.2031,1.02934,9.56376e-05,9.56376e-05,9.56376e-05
38,1363.08,0.53644,0.93667,0.77116,0.9548,0.77319,0.69289,0.72718,0.65768,0.76961,0.69364,0.72869,0.61966,0.64517,1.32708,1.22952,1.03303,8.90442e-05,8.90442e-05,8.90442e-05
39,1398.41,0.55371,0.94291,0.78105,0.96056,0.76686,0.68026,0.72611,0.66179,0.76627,0.68471,0.73412,0.6308,0.64854,1.33198,1.2225,1.03344,8.24508e-05,8.24508e-05,8.24508e-05
40,1432.8,0.52643,0.9374,0.73774,0.94577,0.73523,0.71032,0.74299,0.67116,0.73077,0.71117,0.74055,0.63374,0.63415,1.31001,1.18669,1.02704,7.58574e-05,7.58574e-05,7.58574e-05
41,1467.97,0.49534,0.87201,0.67312,0.93642,0.70617,0.70823,0.73726,0.66692,0.71206,0.7161,0.74358,0.63489,0.63545,1.32198,1.20303,1.02773,6.9264e-05,6.9264e-05,6.9264e-05
42,1499.98,0.47973,0.84001,0.61514,0.92339,0.79333,0.69064,0.74168,0.67027,0.80653,0.70167,0.75269,0.63691,0.64098,1.33915,1.20583,1.02191,6.26706e-05,6.26706e-05,6.26706e-05
43,1531.15,0.47379,0.83275,0.59086,0.91653,0.80936,0.66792,0.73798,0.6676,0.80318,0.6652,0.73392,0.63229,0.62991,1.30006,1.20658,1.02347,5.60772e-05,5.60772e-05,5.60772e-05
44,1562.61,0.4642,0.82274,0.59644,0.90997,0.81502,0.68687,0.75152,0.68204,0.81171,0.6894,0.75501,0.64453,0.6333,1.32614,1.19583,1.0241,4.94838e-05,4.94838e-05,4.94838e-05
45,1594.11,0.45563,0.78777,0.57872,0.91041,0.79004,0.68426,0.74728,0.67232,0.78743,0.68622,0.74685,0.64367,0.63551,1.30405,1.19109,1.03163,4.28904e-05,4.28904e-05,4.28904e-05
46,1625.14,0.45159,0.80396,0.57429,0.9093,0.75417,0.68565,0.73845,0.66962,0.75695,0.6926,0.74606,0.63435,0.64163,1.30896,1.22364,1.02899,3.6297e-05,3.6297e-05,3.6297e-05
47,1657.13,0.45832,0.79232,0.56128,0.91351,0.78079,0.67638,0.7379,0.67241,0.78286,0.68353,0.74549,0.63896,0.63111,1.31325,1.20822,1.0212,2.97036e-05,2.97036e-05,2.97036e-05
48,1688.15,0.44688,0.78102,0.56177,0.90673,0.80996,0.68346,0.75132,0.68077,0.80985,0.68443,0.75322,0.64656,0.62751,1.3027,1.18669,1.02416,2.31102e-05,2.31102e-05,2.31102e-05
49,1719.92,0.4517,0.78935,0.55885,0.90953,0.82177,0.6748,0.74491,0.67345,0.82483,0.67892,0.75389,0.64216,0.63343,1.3173,1.19333,1.02407,1.65168e-05,1.65168e-05,1.65168e-05
50,1751.16,0.44734,0.79617,0.56954,0.91035,0.82639,0.67037,0.74382,0.67529,0.82935,0.6745,0.75392,0.64231,0.6306,1.30729,1.18999,1.02289,9.9234e-06,9.9234e-06,9.9234e-06
