epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,828.446,0.94525,1.62797,1.75818,0.96255,0.32383,0.20484,0.15511,0.11646,0.3198,0.2023,0.1495,0.10256,1.19728,2.34668,2.57555,1.05216,0.000269264,0.000269264,0.000269264
31,854.683,0.94612,1.61729,1.71599,0.96553,0.32607,0.21011,0.15507,0.11953,0.30625,0.20482,0.14749,0.10245,1.18542,2.338,2.46707,1.03347,0.000267066,0.000267066,0.000267066
32,881,0.9421,1.59158,1.71376,0.96638,0.34149,0.20675,0.15987,0.11572,0.3281,0.2001,0.15297,0.10371,1.18428,2.34591,2.5654,1.05205,0.000264868,0.000264868,0.000264868
33,907.045,0.90733,1.5822,1.68114,0.95724,0.27408,0.21049,0.16822,0.12407,0.26767,0.20454,0.15991,0.10917,1.16041,2.22474,2.51062,1.03643,0.00026267,0.00026267,0.00026267
34,933.268,0.90858,1.53559,1.632,0.95093,0.31876,0.17336,0.14299,0.10709,0.31453,0.16908,0.13774,0.09624,1.18103,2.31119,2.60586,1.05473,0.000260473,0.000260473,0.000260473
35,959.713,0.9317,1.5788,1.61258,0.96015,0.24092,0.22752,0.14073,0.10858,0.23031,0.22321,0.13241,0.09554,1.16897,2.30762,2.5282,1.05086,0.000258275,0.000258275,0.000258275
36,986.216,0.93353,1.61557,1.58576,0.95329,0.27106,0.21895,0.1332,0.09844,0.27679,0.22019,0.14248,0.08811,1.16629,2.33904,2.53488,1.04587,0.000256077,0.000256077,0.000256077
37,1012.97,0.91598,1.56942,1.56557,0.95697,0.24594,0.20595,0.15206,0.10696,0.23851,0.2001,0.14736,0.09428,1.15851,2.29986,2.56173,1.04315,0.000253879,0.000253879,0.000253879
38,1039.4,0.88978,1.51927,1.52639,0.9399,0.20657,0.2098,0.13757,0.10767,0.20089,0.20419,0.13047,0.09249,1.18115,2.33765,2.67656,1.03603,0.000251681,0.000251681,0.000251681
39,1065.85,0.90323,1.53647,1.53463,0.95242,0.27636,0.19317,0.1507,0.11906,0.27286,0.19232,0.14653,0.10206,1.16559,2.28465,2.4864,1.03395,0.000249484,0.000249484,0.000249484
40,1091.95,0.90123,1.53209,1.49516,0.94937,0.28538,0.20815,0.13919,0.10435,0.28349,0.20547,0.13298,0.08873,1.1836,2.31859,2.57815,1.05532,0.000247286,0.000247286,0.000247286
41,1118.56,0.90062,1.56266,1.51546,0.94631,0.29369,0.18748,0.14068,0.10658,0.29056,0.18577,0.1378,0.09644,1.17546,2.29692,2.55314,1.05365,0.000245088,0.000245088,0.000245088
42,1145.11,0.89282,1.49087,1.45465,0.94706,0.39319,0.14777,0.14351,0.11018,0.31911,0.1895,0.13731,0.09552,1.16022,2.34783,2.60711,1.03178,0.00024289,0.00024289,0.00024289
43,1171.62,0.90431,1.54355,1.45146,0.95421,0.32745,0.18575,0.15859,0.12172,0.32372,0.18167,0.15353,0.10904,1.17867,2.31368,2.54709,1.0471,0.000240692,0.000240692,0.000240692
